Month,Raipur
2015-01,653
2015-02,637
2015-03,658
2015-04,659
2015-05,655
2015-06,699
2015-07,761
2015-08,686
2015-09,686
2015-10,705
2015-11,652
2015-12,529
2016-01,701
2016-02,568
2016-03,664
2016-04,583
2016-05,685
2016-06,614
2016-07,606
2016-08,658
2016-09,662
2016-10,695
2016-11,586
2016-12,518
2017-01,698
2017-02,729
2017-03,786
2017-04,717
2017-05,741
2017-06,735
2017-07,697
2017-08,693
2017-09,736
2017-10,774
2017-11,675
2017-12,620
2018-01,1092
2018-02,713
2018-03,776
2018-04,791
2018-05,788
2018-06,764
2018-07,811
2018-08,769
2018-09,825
2018-10,737
2018-11,804
2018-12,517
2019-01,852
2019-02,844
2019-03,755
2019-04,769
2019-05,747
2019-06,858
2019-07,881
2019-08,807
2019-09,806
2019-10,945
2019-11,690
2019-12,601
